Date,Country,New Cases,Cumulative Cases,7 Day Moving Average,Infection Rate,Deaths,Cumulative Deaths,7 Day Moving Average,Death Rate,Speed,Acceleration,Jerk,1 Day Persistence,7 Day Persistence
10/22/2020,KS,0,74456,757.2857143,0,0,952,16.28571429,0,25.99396132,0,-0.95620118,0.952104212,27.78247831
10/29/2020,KS,0,82045,1084.142857,0,0,1007,7.857142857,0,37.2133885,0,-9.223663694,1.363048267,28.30576927
11/5/2020,KS,0,92215,1452.857143,0,0,1087,11.42857143,0,49.86956926,0,1.868269999,0.497464264,43.59896652
11/12/2020,KS,0,109225,2430,0,0,1215,18.28571429,0,83.41016451,0,-13.16125112,0.832041999,59.68440209
10/1/2020,KY,888,69728,795.7142857,19.87611895,17,1191,7.714285714,0.380511286,17.81048626,0.789800737,0.156681118,0.623431965,16.67159752
10/8/2020,KY,868,77455,1103.857143,19.42845862,11,1234,6.142857143,0.246213185,24.70765302,-0.063951477,-4.569333009,0.907331849,19.39448584
10/15/2020,KY,1182,84195,962.8571429,26.45672591,20,1296,8.857142857,0.447660337,21.55164764,1.004038184,4.428639761,0.752615781,26.90506141
10/22/2020,KY,1303,92299,1157.714286,29.16507094,17,1380,12,0.380511286,25.91313835,0.386906434,-0.028778165,0.934972266,23.46837245
10/29/2020,KY,1811,103305,1572.285714,40.5356435,19,1461,11.57142857,0.42527732,35.19249762,1.624367508,0.329350105,1.229530108,28.21775821
11/5/2020,KY,2268,115277,1710.285714,50.7646822,20,1534,10.42857143,0.447660337,38.28135395,1.461291242,2.187140503,0.52163143,41.61892554
11/12/2020,KY,2336,129680,2057.571429,52.28672734,18,1622,12.57142857,0.402894303,46.05465594,0.217435021,-3.197573834,0.457240351,45.81550945
10/1/2020,LA,551,168009,509,11.85253638,8,5519,13.71428571,0.172087643,10.94907626,-0.079897834,-0.061459872,0.403968158,13.72984609
10/8/2020,LA,524,173149,734.2857143,11.27174058,5,5609,12.85714286,0.107554777,15.79518719,-0.082970828,-4.833818959,0.581583582,11.9228471
10/15/2020,LA,743,176952,543.2857143,15.9826398,12,5707,14,0.258131464,11.68659472,0.672985602,4.594125456,0.403405372,17.19995343
10/22/2020,LA,772,181904,707.4285714,16.6064575,9,5799,13.14285714,0.193598598,15.21746439,0.089116815,-1.395139102,0.5541196,12.72595776
10/29/2020,LA,394,186216,616,8.475316394,18,5908,15.57142857,0.387197196,13.25074847,-1.161591587,-0.347248279,0.527893748,16.57085008
11/5/2020,LA,681,190845,661.2857143,14.64896057,20,5995,12.42857143,0.430219106,14.22488745,0.881949168,1.133934644,0.165369785,15.62691389
11/12/2020,LA,3829,198531,1098,82.3654479,39,6097,14.57142857,0.838927257,23.61902894,9.673783904,12.79594542,0.1391081,17.02448838
10/1/2020,MA,754,132870,553.8571429,10.93942215,24,9480,16.85714286,0.348204419,8.035646018,0.56583218,0.588631279,0.273603593,6.466244417
10/8/2020,MA,444,136936,580.8571429,6.441781745,8,9565,12.14285714,0.11606814,8.427375989,-0.642520058,-0.648737994,0.332211244,8.750307018
10/15/2020,MA,587,141579,663.2857143,8.516499739,25,9672,15.28571429,0.362712936,9.623292355,0.296388285,0.203119244,0.341624908,9.176876021
10/22/2020,MA,1049,147215,805.1428571,15.2194348,30,9810,19.71428571,0.435255523,11.68142919,0.957562151,0.704699419,0.392792728,10.47915282
10/29/2020,MA,1346,155564,1192.714286,19.52846448,27,9951,20.14285714,0.391729971,17.30451602,0.615575669,-0.377221454,0.611280836,12.72033282
11/5/2020,MA,1862,165161,1371,27.01485948,23,10085,19.14285714,0.333695901,19.89117741,1.069485,-0.035234971,0.262107048,20.470984
11/12/2020,MA,2648,180189,2146.857143,38.41855419,20,10242,22.42857143,0.290170349,31.1477143,1.629099244,-0.331623256,0.294457248,23.8059612
10/1/2020,MD,785,125510,530,12.98447817,0,3949,5.714285714,0,8.766590359,0.666355386,0.597829477,0.296694595,8.442392285
10/8/2020,MD,761,129425,559.2857143,12.5875005,6,3979,4.285714286,0.099244419,9.250997643,-0.056711097,-0.165407365,0.340921824,9.546258878
10/15/2020,MD,630,133548,589,10.42066401,6,4028,7,0.099244419,9.742493814,-0.309548069,-0.581288741,0.368185183,10.07374758
10/22/2020,MD,743,137979,633,12.28976724,12,4070,6,0.198488838,10.47028622,0.267014747,0.463140623,0.373724406,10.60895562
10/29/2020,MD,962,143387,772.5714286,15.91218854,12,4127,8.142857143,0.198488838,12.77890045,0.517488757,0.063799984,0.449109759,11.40147523
11/5/2020,MD,1198,149964,939.5714286,19.81580236,10,4182,7.857142857,0.165407365,15.54120345,0.557659117,-0.189036989,0.210051324,15.11242671
11/12/2020,MD,1477,159900,1419.428571,24.43066785,12,4261,11.28571429,0.198488838,23.47839402,0.659266499,-1.027888627,0.227627803,18.59986861
10/1/2020,ME,40,5431,30.85714286,2.975721092,1,142,0.285714286,0.074393027,2.295556271,-0.042510301,-0.350709986,0.085638468,2.927906522
10/8/2020,ME,35,5639,29.71428571,2.603755955,0,142,0,0,2.210535668,-0.053137877,0.106275753,0.082913608,2.499714659
10/15/2020,ME,20,5836,28.14285714,1.487860546,1,144,0.285714286,0.074393027,2.093632339,-0.15941363,-0.127530904,0.082524342,2.407132635
10/22/2020,ME,37,6064,32.57142857,2.75254201,0,146,0.285714286,0,2.423087175,0.180668781,0.15941363,0.082135076,2.279832351
10/29/2020,ME,80,6467,57.57142857,5.951442183,0,146,0,0,4.282912857,0.456985739,0.053137877,0.140135675,2.638587696
11/5/2020,ME,183,7260,113.2857143,13.61392399,0,150,0.571428571,0,8.427667234,1.094640259,0.297572109,0.09580939,5.09029367
11/12/2020,ME,193,8395,162.1428571,14.35785427,1,159,1.285714286,0.074393027,12.062298,0.106275753,0.201923931,0.119264992,10.08631692
10/1/2020,MI,998,139012,953.5714286,9.993133976,19,7102,11.85714286,0.190250046,9.548263569,-0.114436118,-0.532127947,0.353924396,8.746320412
10/8/2020,MI,1401,146493,1068.714286,14.02843758,24,7193,13,0.240315847,10.70120745,0.576471943,0.547862913,0.370847798,10.39745125
10/15/2020,MI,2458,156913,1488.571429,24.61234801,34,7302,15.57142857,0.34044745,14.90530433,1.511987205,0.969846097,0.490569078,11.65293375
10/22/2020,MI,2204,170076,1880.428571,22.06900529,46,7464,23.14285714,0.460605374,18.82903271,-0.363334674,-0.771013343,0.702976111,16.23092764
10/29/2020,MI,4109,190043,2852.428571,41.14407566,47,7653,27,0.470618534,28.56182452,2.725010052,0.276077134,0.946348253,20.50361809
11/5/2020,MI,6103,218263,4031.428571,61.11031729,51,7833,25.71428571,0.510671175,40.36734051,2.852320233,1.697945896,0.530880458,33.86736448
11/12/2020,MI,7311,259183,5845.714286,73.20621493,49,8185,50.28571429,0.490644855,58.53407419,1.727985377,-1.451908243,0.566658176,48.31203915
10/1/2020,MN,1066,100200,1026.857143,18.90194254,13,2102,8.857142857,0.230511494,18.20787496,0.390096375,0.367298535,0.65262781,17.35019392
10/8/2020,MN,1271,107922,1103.142857,22.53693149,6,2160,8.285714286,0.10638992,19.56054681,0.519284136,-0.048128774,0.697441462,19.82721684
10/15/2020,MN,1163,117106,1312,20.62191292,19,2199,5.571428571,0.336901415,23.26392928,-0.273574081,-1.433730833,0.862129316,21.30019038
10/22/2020,MN,1561,128152,1578,27.67911098,20,2301,14.57142857,0.354633068,27.98054909,1.008171151,1.790896995,0.987941558,25.33293816
10/29/2020,MN,2867,142311,2022.714286,50.83665033,32,2419,16.85714286,0.567412909,35.86606867,3.308219908,1.160156752,1.192525624,30.4690369
11/5/2020,MN,3942,164865,3222,69.89817775,25,2555,19.42857143,0.443291335,57.1313873,2.723075346,-2.137930783,0.736300836,42.45733383
11/12/2020,MN,7225,201795,5275.714286,128.1111959,39,2793,34,0.691534483,93.54713722,8.316145451,5.626000319,0.85020531,68.37541897
10/1/2020,MO,1799,127912,1371.571429,29.31195282,10,2128,25.14285714,0.162934702,22.34765815,1.01019515,1.543224388,0.781546458,25.28820572
10/8/2020,MO,1505,137156,1320.571429,24.5216726,23,2259,18.71428571,0.374749814,21.51669117,-0.684325747,-0.025604025,0.813176624,24.33517722
10/15/2020,MO,1875,150554,1914,30.55025656,22,2442,26.14285714,0.358456344,31.18570189,0.86122628,-7.008519809,1.110721856,23.43030708
10/22/2020,MO,1854,162723,1738.428571,30.20809368,16,2657,30.71428571,0.260695523,28.32503406,-0.04888041,7.411201286,1.039276898,33.95924429
10/29/2020,MO,3061,177693,2138.571429,49.87431217,29,2899,34.57142857,0.472510635,34.84474976,2.809459784,1.247614287,1.173385393,30.84415911
11/5/2020,MO,3553,196576,2697.571429,57.89069949,18,3106,29.57142857,0.293282463,43.95279959,1.145198189,-0.44690661,0.616916071,41.24782117
11/12/2020,MO,4603,225371,4113.571429,74.99884316,16,3339,33.28571429,0.260695523,67.02435334,2.444020525,-0.982263487,0.644208647,52.60315264
10/1/2020,MS,696,98886,510.8571429,23.38592591,10,2979,15,0.336004683,17.16503921,-0.196802743,-0.196802743,0.635927808,17.64101466
10/8/2020,MS,578,102819,561.8571429,19.42107065,23,3074,13.57142857,0.77281077,18.87866309,-0.566407893,-5.299273851,0.712232113,18.69163509
10/15/2020,MS,1322,108139,760,44.41981903,12,3152,11.14285714,0.403205619,25.53635587,3.571249769,6.748894053,0.804535707,20.55766242
10/22/2020,MS,958,113081,706,32.18924859,8,3231,11.28571429,0.268803746,23.72193059,-1.747224349,-1.387219332,0.932881656,27.80746607
10/29/2020,MS,970,118587,786.5714286,32.59245421,8,3310,11.28571429,0.268803746,26.42916832,0.057600803,-0.897612509,0.965935134,25.83167243
11/5/2020,MS,1612,123887,757.1428571,54.16395483,8,3405,13.57142857,0.268803746,25.44035454,3.081642946,4.204858599,0.347131214,31.21904266
11/12/2020,MS,1271,130665,968.2857143,42.70619515,17,3514,15.57142857,0.57120796,32.53485341,-1.636822811,-3.988855589,0.340872961,30.4472722
